uid,comp_key,fom_ref,rank_mean,rank_entropy
1BrITl2-1,Br1-I1-Tl2,2349.861096592557,151.737,0.7918760418630475
1GeTe-1,Ge1-Te1,2339.498057534658,151.955,0.7915091298106424
2FInTe-1,F1-In1-Te1,2337.0992671865374,153.6785,0.7931326718442313
1PdSe2-1,Pd1-Se2,2150.3907238071306,154.904,0.8579762169988399
2FInS-1,F1-In1-S1,2321.1678318598415,155.473,0.7970275881126336
1PtSnS4-1,Pt1-S4-Sn1,2329.0877373134185,156.322,0.7953678790027753
1BrClN2Ti2-1,Br1-Cl1-N2-Ti2,2342.3660706719893,156.8505,0.7941703786506832
2FGaSe-1,F1-Ga1-Se1,2314.4737721619913,157.2245,0.7934723985875006
2BrGaTe-1,Br1-Ga1-Te1,2322.5737819649435,157.7085,0.7980273753110478
2GaInO3-1,Ga1-In1-O3,2316.692310894378,158.0115,0.7934453477401033
1BiClTe-1,Bi1-Cl1-Te1,2292.036658187704,159.578,0.7902863221047673
1AgGaP2S2Se4-1,Ag1-Ga1-P2-S2-Se4,2300.1333007556377,160.4255,0.7957256002482901
2HgI-1,Hg1-I1,2303.4201739809673,161.048,0.7980858426693369
2GeZnO3-1,Ge1-O3-Zn1,2291.0873105922906,161.4975,0.7981525441773678
1TeCd2I2-1,Cd2-I2-Te1,2287.0445440951726,162.9195,0.7988204239766848
1GeS2-2,Ge1-S2,2279.519779495838,163.751,0.7992039973996677
2FGaTe-1,F1-Ga1-Te1,2286.0254127259577,164.874,0.8010030352550598
2IInTe-1,I1-In1-Te1,2282.122876179082,165.2255,0.801608488464037
1CdI2O2Sn2-1,Cd1-I2-O2-Sn2,2270.7183391395547,166.4935,0.8037050244892129
2AlITe-1,Al1-I1-Te1,2262.0127680111455,167.9795,0.8008064436112939
2BrZn-1,Br1-Zn1,2255.5782013281564,170.66,0.8051952797576867
1GaRhIr2Br4S4-1,Br4-Ga1-Ir2-Rh1-S4,2194.33219948796,170.684,0.8619132370319196
4BrCd-1,Br1-Cd1,2247.2668320693983,171.211,0.7971667330083761
2CPSnH3O3-1,C1-H3-O3-P1-Sn1,2239.5647938032052,171.5665,0.8024615791758155
4SiP2-1,P2-Si1,2248.0685243375037,173.245,0.800740701774914
2ClGaSe-1,Cl1-Ga1-Se1,2234.3817400140692,174.67,0.8080145590787602
1AgGeTaCl2S4-1,Ag1-Cl2-Ge1-S4-Ta1,2229.328147493428,175.2935,0.8080355523953908
1BiITe-1,Bi1-I1-Te1,1960.5905696360091,175.848,0.8705853184499549
2AlClTe-1,Al1-Cl1-Te1,2232.244705914027,176.059,0.7990583263153778
1BiBrTe-1,Bi1-Br1-Te1,2199.4816685288692,176.466,0.8212066779164625
2BrGaSe-1,Br1-Ga1-Se1,2217.9675832325483,178.654,0.8051876543869139
2GaITe-1,Ga1-I1-Te1,2219.734467343572,179.2005,0.8057571514229636
2AlAsS3-1,Al1-As1-S3,2212.65097747379,179.5605,0.8122983780021449
